"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance"
"1900 - 1999","chronological term","016431537","Monograph","Language material ; Text","Volume","","","9783828828636","Stehle, Julia","","person","","Stehle, Julia [person]","Moderne Literatur und die Philosophie des Mittelalters : Joyce, Beckett, Andersch : mit einer Einführung in die Mittelalterrezeption","","","","Germany","Marburg","Tectum","2012","","x, 248 pages, 21 cm","","YF.2015.a.19739","Criticsm and interpretation","German","Additional physical form: 9783828855090",""
"1900-1999","chronological term","018120810","Monograph","Language material ; Text","Volume","","","9788843078264","Terrinoni, Enrico","1976-","person","author","Terrinoni, Enrico, 1976-, author [person]","James Joyce e la fine del romanzo","","Frecce","213 [Frecce]","Italy","Roma","Carocci","2015","1st edizione","175 pages, 23 cm","823","YF.2017.a.655","Criticsm and interpretation","Italian","",""
"1900-1999","chronological term","019020225","Monograph","Language material ; Text","Volume","","","9780967955797 ; 9781460008843","Murphy, Michael","1932-","person","author","Murphy, Michael, 1932-, author [person]","Ulysses in West Britain : James Joyce's Dublin & Dubliners","James Joyce's Dublin & Dubliners","","","United States of America","Brooklyn, New York","Conal & Gavin","2018","","235 pages, illustrations, map, 23 cm","823.912","YD.2018.a.3453","Criticsm and interpretation","English","",""
"1914-1939","chronological term","017943101","Monograph","Language material ; Text","Sheet","","","9788073085391","Armand, Louis","1972-","person","author","Armand, Louis, 1972-, author [person]","Helixtrolysis : cyberology & the joycean 'tyrondynamon machine'","","Litteraria Pragensia","","Czech Republic","Prague","Univerzita Karlova v Praze, Filozofická fakulta","2014","1st edition","256 pages, black and white illustrations, 18 cm","","YD.2016.a.2994","","English","",""
"20. stol","chronological term","017943101","Monograph","Language material ; Text","Sheet","","","9788073085391","Armand, Louis","1972-","person","author","Armand, Louis, 1972-, author [person]","Helixtrolysis : cyberology & the joycean 'tyrondynamon machine'","","Litteraria Pragensia","","Czech Republic","Prague","Univerzita Karlova v Praze, Filozofická fakulta","2014","1st edition","256 pages, black and white illustrations, 18 cm","","YD.2016.a.2994","","English","",""
"Achebe, Chinua--Political and social views","person","012617689","Monograph","Language material ; Text","Volume","GBA300060","","9780415936910","Daniels, Patsy J.","1944-","person","","Daniels, Patsy J., 1944- [person]","The voice of the oppressed in the language of the oppressor : a discussion of selected postcolonial literature from Ireland, Africa, and America","","Literary criticism and cultural theory","","England ; United States of America","London ; New York","Routledge","2001","","ix, 190 pages, 24 cm","810.9920693","YC.2002.a.22304","","English","",""
"Adorno, Theodor W, 1903-1969","person","006750069","Monograph","Language material ; Text","Volume","","","9783476012920","Sonnemann, Ulrich","","person","","Sonnemann, Ulrich [person] ; Fiebig, Paul, 1942- [person]","Müllberge des Vergessens : elf Einsprüche","","","","Germany","Stuttgart","J B Metzler","1995","","volumes, 140 pages, 22 cm","","YA.2000.a.11649","","German","",""
"Adorno, Theodor W, 1903-1969","person","008175244","Monograph","Language material ; Text","Volume","","","9783884760178","Lücke, Peter","","person","","Lücke, Peter [person]","Der imaginierte Mythos, Joyce-Adorno : ein Beitrag zu Theorie und Praxis mythischen Denkens in der Moderne","","Horizonte","Band 8 [Horizonte]","Germany","Trier","Wissenschaftlicher Verlag Trier","1992","","131 pages, 21 cm","","YA.1995.a.29523","","German","Originally presented as the author's thesis (doctoral) --Universität Bochum, 1991",""
"Adultery in literature","general term","014904720","Monograph","Language material ; Text","Volume","","","9788840007878","Caponi, Paolo","","person","","Università di Milano, Dipartimento di scienze del linguaggio e letterature straniere comparate [organisation] ; Caponi, Paolo [person]","Adultery in the high canon : forms of infidelity in Joyce, Beckett and Pinter","","Biblioteca di anglistica","9 [Biblioteca di anglistica]","Italy","Milano","Unicopli","2002","1st edition","141 pages, illustrations, 22 cm","822.91093552","ZA.9.a.3325 (9)","","English","'This book is a result of a three-year doctorate at the Università Cá Foscari of Venice.'--Acknowledgements ; 'volume pubblicato con illustrations contributo deel Dipartimento di scienze deel linguaggio e letterature comparate dell'Università degli Studi di Milano.'--T.p. verso",""
"Adultery in literature","general term","015634236","Monograph","Language material ; Text","Volume","GBB0A0910","","9780230105126","Utell, Janine","1975-","person","","Utell, Janine, 1975- [person]","James Joyce and the revolt of love : marriage, adultery, desire","","New directions in Irish and Irish American literature","","United States of America","New York","Palgrave Macmillan","2010","1st edition","x, 177 pages, 22 cm","823.912","YC.2012.a.10858 ; m12/.11807","","English","",""
"Advertising in literature","general term","009902876","Monograph","Language material ; Text","Volume","","","9780813016320","Leonard, Garry M.","1956-","person","","Leonard, Garry M., 1956- [person]","Advertising and commodity culture in Joyce","","The Florida James Joyce series","","United States of America","Gainesville","Florida ; University Press","1998","","xii, 252 pages, 24 cm","823.912","99/11905 ; YC.1999.b.2100","","English","",""
"Advertising in literature","general term","018737568","Monograph","Language material ; Text","Volume","","","9789004359048","","","","","Alonso, Sabrina, editor [person] ; Mecsnóber, Tekla, editor [person] ; Brockman, William S., editor [person]","Publishing in Joyce's Ulysses : newspapers, advertising and printing","","European Joyce studies","volume 26 [European Joyce studies]","Netherlands","Boston ; Leiden","Brill Rodopi","2018","","xiv, 232 pages, illustrations (chiefly colour), colour map, 24 cm","823.912","YD.2018.a.960","","English","Additional physical form: Online version. Publishing in Joyce's Ulysses. Leiden ; Boston : Brill, [2018]. 9789004359062",""
"Advertising--Ireland--History--20th century","general term","009902876","Monograph","Language material ; Text","Volume","","","9780813016320","Leonard, Garry M.","1956-","person","","Leonard, Garry M., 1956- [person]","Advertising and commodity culture in Joyce","","The Florida James Joyce series","","United States of America","Gainesville","Florida ; University Press","1998","","xii, 252 pages, 24 cm","823.912","99/11905 ; YC.1999.b.2100","","English","",""
"Aesop's fables--Adaptations","title","016697903","Monograph","Language material ; Still image ; Text","Volume","GBB444524","","9781843516279","Joyce, James","1882-1941","person","author","McNally, Thomas, illustrator [person] ; Joyce, James, 1882-1941, author [person] ; Joyce, James, 1882-1941 [person]","The ondt and the gracehoper","Finnegans wake ; Work in progress. Selections","","","Ireland","Dublin","Lilliput Press","2014","","136 pages, colour illustrations, 25 cm","823.912","YC.2016.a.7179","Adaptation ; Fable or legend","English","''The ondt and the gracehoper' ... is presented in part III, Chapter I of his last great work, Finnegans Wake' -- cover ; 'James Joyce wrote the first draft of 'The Ondt and the Gracehoper' in a small pink notebook in or around February 1928 ... It first appeared in published form in transition number 12 (Paris, 21 March 1928) ... One year later (in April 1929) he extracted the fable from the main text of Work in Progress and ... sent it ... for separate publication as Tales Told of Shem and Shaun (Paris: The Black Sunday Press, August 1929) ' -- page 17",""
"Aestheticism (Literature)","general term","008106298","Monograph","Language material ; Text","Volume","GB8641559","","9780838750506","Harkness, Marguerite","1947-","person","","Harkness, Marguerite, 1947- [person]","The aesthetics of Dedalus and Bloom","","","","England","Lewisburg ; London ; Pennsylvania","Associated University Presses ; Bucknell University Press","1984","","212 pages, 25 cm","823.912","X.520/38752","","English","bibliography: p204-208. _ Includes index",""
